customerId,description,purchase_by_invoice,purchase_total_amount,purchase_streek,next_streek_purchase_amount,remaining_amount,is_eligible_customer,offer_eligibility
1270,CHICK GREY HOT WATER BOTTLE,35,584,20,2100,1516,1,40
1271,SMALL GLASS HEART TRINKET POT,24,142,1,200,58,1,2
1272,ALARM CLOCK BAKELIKE IVORY,16,1005,15,1600,595,1,30
1273,ALARM CLOCK BAKELIKE RED ,1,241,6,700,459,1,12
1274,ALARM CLOCK BAKELIKE ORANGE,2,314,5,600,286,1,10
1275,ALARM CLOCK BAKELIKE GREEN,27,661,8,900,239,1,16
1276,HOT WATER BOTTLE TEA AND SYMPATHY,1,100,0,100,0,1,0
1277,HAND WARMER BIRD DESIGN,27,1485,19,2000,515,1,38
1278,HAND WARMER SCOTTY DOG DESIGN,7,724,17,1800,1076,1,34
1279,WHITE HANGING HEART T-LIGHT HOLDER,18,790,7,800,10,1,14
1280,WHITE METAL LANTERN,25,458,6,700,242,1,12
1281,CREAM CUPID HEARTS COAT HANGER,13,277,21,2200,1923,1,42
1282,EDWARDIAN PARASOL BLACK,30,424,6,700,276,1,12
1283,EDWARDIAN PARASOL RED,12,726,18,1900,1174,1,36
1284,RETRO COFFEE MUGS ASSORTED,30,1728,21,2200,472,1,42
1285,SAVE THE PLANET MUG,12,255,18,1900,1645,1,36
1286,VINTAGE BILLBOARD DRINK ME MUG,16,1446,20,2100,654,1,40
1287,VINTAGE BILLBOARD LOVE/HATE MUG,34,599,17,1800,1201,1,34
1288,WOOD 2 DRAWER CABINET WHITE FINISH,9,1735,24,2500,765,1,48
1289,WOOD S/3 CABINET ANT WHITE FINISH,22,1552,17,1800,248,1,34
1290,WOODEN PICTURE FRAME WHITE FINISH,22,813,21,2200,1387,1,42
1291,WOODEN FRAME ANTIQUE WHITE ,14,1704,24,2500,796,1,48
1292,KNITTED UNION FLAG HOT WATER BOTTLE,24,1513,23,2400,887,1,46
1293,RED WOOLLY HOTTIE WHITE HEART.,1,342,17,1800,1458,1,34
1294,SET 7 BABUSHKA NESTING BOXES,33,1235,19,2000,765,1,38
1295,IVORY EMBROIDERED QUILT ,14,456,11,1200,744,1,22
1296,GLASS STAR FROSTED T-LIGHT HOLDER,14,200,4,500,300,1,8
1297,SET OF 3 BLACK FLYING DUCKS,34,740,17,1800,1060,1,34
1298,SET OF 3 COLOURED  FLYING DUCKS,34,124,1,200,76,1,2
1299,PACK OF 12 RED RETROSPOT TISSUES ,34,371,7,800,429,1,14
1300,RED RETROSPOT MUG,35,271,16,1700,1429,1,32
1301,BABUSHKA LIGHTS STRING OF 10,11,747,12,1300,553,1,24
1302,PIGGY BANK RETROSPOT ,20,282,16,1700,1418,1,32
1303,SET 7 BABUSHKA NESTING BOXES,2,1167,11,1200,33,1,22
1304,DOORMAT FAIRY CAKE,28,196,2,300,104,1,4
1305,HAND WARMER RED RETROSPOT,23,286,7,800,514,1,14
1306,HAND WARMER SCOTTY DOG DESIGN,27,2295,24,2500,205,1,48
1307,HAND WARMER OWL DESIGN,23,230,2,300,70,1,4
1308,STRAWBERRY CERAMIC TRINKET BOX,5,397,18,1900,1503,1,36
1309,PINK DOUGHNUT TRINKET POT ,11,963,12,1300,337,1,24
1310,SILK PURSE BABUSHKA PINK,16,183,3,400,217,1,6
1311,HOT WATER BOTTLE TEA AND SYMPATHY,28,566,6,700,134,1,12
1312,HOT WATER BOTTLE I AM SO POORLY,24,168,11,1200,1032,1,22
1313,CHOCOLATE HOT WATER BOTTLE,29,1385,17,1800,415,1,34
1314,WHITE SKULL HOT WATER BOTTLE ,34,564,25,2600,2036,1,50
1315,SCOTTIE DOG HOT WATER BOTTLE,12,1433,19,2000,567,1,38
1316,HAND WARMER RED POLKA DOT,29,848,16,1700,852,1,32
1317,HAND WARMER UNION JACK,25,1239,15,1600,361,1,30
1318,HOMEMADE JAM SCENTED CANDLES,29,484,5,600,116,1,10
1319,BIRD HOUSE HOT WATER BOTTLE,9,193,4,500,307,1,8
1320,BOUDOIR SQUARE TISSUE BOX,23,303,10,1100,797,1,20
1321,SKULLS SQUARE TISSUE BOX,3,207,5,600,393,1,10
1322,PHOTO FRAME CORNICE,18,2083,21,2200,117,1,42
1323,SILK PURSE BABUSHKA RED,23,2497,24,2500,3,1,48
1324,PICTURE DOMINOES,23,325,9,1000,675,1,18
1325,S/6 SEW ON CROCHET FLOWERS,13,527,8,900,373,1,16
1326,SCANDINAVIAN REDS RIBBONS,32,1975,21,2200,225,1,42
1327,BALLOONS  WRITING SET ,9,1003,13,1400,397,1,26
1328,JAM MAKING SET PRINTED,11,1181,16,1700,519,1,32
1329,LAVENDER INCENSE IN TIN,24,1003,12,1300,297,1,24
1330,TV DINNER TRAY VINTAGE PAISLEY,18,140,1,200,60,1,2
1331,SET OF 4 ENGLISH ROSE PLACEMATS,18,2006,20,2100,94,1,40
1332,SET OF 4 ENGLISH ROSE COASTERS,20,627,11,1200,573,1,22
1333,TRIPLE PHOTO FRAME CORNICE ,31,372,4,500,128,1,8
1334,FAMILY PHOTO FRAME CORNICE,22,300,4,500,200,1,8
1335,MIRRORED DISCO BALL ,9,1312,17,1800,488,1,34
1336,DISCO BALL ROTATOR BATTERY OPERATED,22,1785,22,2300,515,1,44
1337,SILVER LOOKING MIRROR,14,134,1,200,66,1,2
1338,LADIES & GENTLEMEN METAL SIGN,30,500,24,2500,2000,1,48
1339,METAL SIGN HER DINNER IS SERVED ,17,185,2,300,115,1,4
1340,YOU'RE CONFUSING ME METAL SIGN ,5,279,3,400,121,1,6
1341,DOORMAT TOPIARY,9,949,12,1300,351,1,24
1342,BATHROOM METAL SIGN,7,800,9,1000,200,1,18
1343,KITCHEN METAL SIGN,1,1313,16,1700,387,1,32
1344,TOILET METAL SIGN,3,609,11,1200,591,1,22
1345,METAL SIGN TAKE IT OR LEAVE IT ,15,392,3,400,8,1,6
1346,I'M ON HOLIDAY METAL SIGN,10,472,17,1800,1328,1,34
1347,GROW YOUR OWN BASIL IN ENAMEL MUG,19,1295,12,1300,5,1,24
1348,SET/10 PINK POLKADOT PARTY CANDLES,14,190,3,400,210,1,6
1349,SET 20 NAPKINS FAIRY CAKES DESIGN ,32,242,4,500,258,1,8
1350,60 TEATIME FAIRY CAKE CASES,18,909,21,2200,1291,1,42
1351,SET OF 6 T-LIGHTS SNOWMEN,28,270,2,300,30,1,4
1352,SET OF 6 T-LIGHTS SANTA,31,968,21,2200,1232,1,42
1353,SET OF 9 HEART SHAPED BALLOONS,10,1998,24,2500,502,1,48
1354,SANDWICH BATH SPONGE,32,805,9,1000,195,1,18
1355,APPLE BATH SPONGE,13,934,15,1600,666,1,30
1356,STRAWBERRY BATH SPONGE ,22,595,13,1400,805,1,26
1357,BLACK PIRATE TREASURE CHEST,18,656,9,1000,344,1,18
1358,STAR PORTABLE TABLE LIGHT ,8,186,10,1100,914,1,20
1359,SNOWFLAKE PORTABLE TABLE LIGHT ,5,1172,11,1200,28,1,22
